hs8,hs6,naics6,naics2,tariff,desc,Country,unmapped,bad_naics6,naics2_mismatch,public_admin,hs97,hs000
17011310,170113,31131X,31,25.0%,"Cane or beet sugar and chemically pure sucrose, in solid form. Raw sugar not containing added flavouring or colouring matter: Cane sugar specified in Subheading Note 2 to this ChapterFor use by sugar refineries in the production of refined sugar used in the manufacture of wine",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17011390,170113,31131X,31,25.0%,"Cane or beet sugar and chemically pure sucrose, in solid form. Raw sugar not containing added flavouring or colouring matter: Cane sugar specified in Subheading Note 2 to this ChapterOther",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17011400,170114,31131X,31,50.0%,"Cane or beet sugar and chemically pure sucrose, in solid form. Raw sugar not containing added flavouring or colouring matter: Other cane sugar",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17019100,170191,31131X,31,10.0%,"Cane or beet sugar and chemically pure sucrose, in solid form: --Containing added flavouring or colouring matter",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17019190,170191,31131X,31,25.0%,"Cane or beet sugar and chemically pure sucrose, in solid form. Other: Containing added flavouring or colouring matterOther",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17019910,170199,31131X,31,25.0%,"Cane or beet sugar and chemically pure sucrose, in solid form: ---Granulated sugar",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17019920,170199,31131X,31,5.0%,"Cane or beet sugar and chemically pure sucrose, in solid form: ---Superfine sugar",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17019990,170199,31131X,31,45.0%,"Cane or beet sugar and chemically pure sucrose, in solid form. Other: OtherOther",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17029011,170290,31131X,31,20.0%,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel: ----Aqueous solution of cane sugar or beet sugar",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17029012,170290,31131X,31,20.0%,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel: ----Simple solid mixtures of cane sugar, beet sugar and other sugar containing more than 50% by weight of cane sugar",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
